date,away_team,home_team,away_score,home_score,home_wins,away_batting_avg,away_on_base_pct,away_slugging,away_runs_per_game,away_era,away_whip,home_batting_avg,home_on_base_pct,home_slugging,home_runs_per_game,home_era,home_whip,batting_avg_diff,era_diff,runs_per_game_diff
2025-08-25,Boston Red Sox,Baltimore Orioles,4,3,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Tampa Bay Rays,Cleveland Guardians,9,0,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Atlanta Braves,Miami Marlins,1,2,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Washington Nationals,New York Yankees,5,10,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Minnesota Twins,Toronto Blue Jays,4,10,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Philadelphia Phillies,New York Mets,3,13,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Kansas City Royals,Chicago White Sox,0,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Arizona Diamondbacks,Milwaukee Brewers,5,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Pittsburgh Pirates,St. Louis Cardinals,6,7,1,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
2025-08-25,Los Angeles Angels,Texas Rangers,4,0,0,0.25,0.32,0.4,4.5,4.5,1.35,0.25,0.32,0.4,4.5,4.5,1.35,0.0,0.0,0.0
