date,season,home_team,away_team,home_wins,home_win_rate,away_win_rate,win_rate_advantage,home_runs_per_game,away_runs_per_game,home_runs_allowed_per_game,away_runs_allowed_per_game,offensive_advantage,defensive_advantage,home_run_differential,away_run_differential,run_diff_advantage,h2h_advantage,is_early_season,is_late_season,home_field
2022-04-07,2022,Chicago Cubs,Milwaukee Brewers,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-07,2022,Kansas City Royals,Cleveland Guardians,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-07,2022,St. Louis Cardinals,Pittsburgh Pirates,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-07,2022,Washington Nationals,New York Mets,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Atlanta Braves,Cincinnati Reds,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Toronto Blue Jays,Texas Rangers,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Washington Nationals,New York Mets,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-08,2022,San Francisco Giants,Miami Marlins,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Minnesota Twins,Seattle Mariners,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Tampa Bay Rays,Baltimore Orioles,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Colorado Rockies,Los Angeles Dodgers,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Detroit Tigers,Chicago White Sox,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,New York Yankees,Boston Red Sox,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Arizona Diamondbacks,San Diego Padres,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Los Angeles Angels,Houston Astros,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-08,2022,Atlanta Braves,Cincinnati Reds,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-08,2022,Philadelphia Phillies,Oakland Athletics,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-09,2022,Philadelphia Phillies,Oakland Athletics,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-09,2022,Atlanta Braves,Cincinnati Reds,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.5,1,0,1
2022-04-09,2022,Washington Nationals,New York Mets,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
2022-04-09,2022,Kansas City Royals,Cleveland Guardians,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-09,2022,New York Yankees,Boston Red Sox,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-09,2022,Toronto Blue Jays,Texas Rangers,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-09,2022,San Francisco Giants,Miami Marlins,0,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
2022-04-09,2022,St. Louis Cardinals,Pittsburgh Pirates,1,0.5,0.5,0.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1
