season,date,game_id,away_team,home_team,away_score,home_score,winner
2022,2022-04-07,663178,Milwaukee Brewers,Chicago Cubs,4,5,home
2022,2022-04-07,662766,Cleveland Guardians,Kansas City Royals,1,3,home
2022,2022-04-07,662021,Pittsburgh Pirates,St. Louis Cardinals,0,9,home
2022,2022-04-07,662571,New York Mets,Washington Nationals,5,1,away
2022,2022-04-08,661577,Cincinnati Reds,Atlanta Braves,6,3,away
2022,2022-04-08,661042,Houston Astros,Los Angeles Angels,3,1,away
2022,2022-04-08,663418,San Diego Padres,Arizona Diamondbacks,2,4,home
2022,2022-04-08,661333,Boston Red Sox,New York Yankees,5,6,home
2022,2022-04-08,662888,Chicago White Sox,Detroit Tigers,4,5,home
2022,2022-04-08,661131,Oakland Athletics,Philadelphia Phillies,5,9,home
2022,2022-04-08,661918,Baltimore Orioles,Tampa Bay Rays,1,2,home
2022,2022-04-08,662933,Los Angeles Dodgers,Colorado Rockies,5,3,away
2022,2022-04-08,661750,Seattle Mariners,Minnesota Twins,2,1,away
2022,2022-04-08,662124,Miami Marlins,San Francisco Giants,5,6,home
2022,2022-04-08,662559,New York Mets,Washington Nationals,7,3,away
2022,2022-04-08,661782,Texas Rangers,Toronto Blue Jays,8,10,home
2022,2022-04-08,661576,Cincinnati Reds,Atlanta Braves,6,7,home
2022,2022-04-09,661130,Oakland Athletics,Philadelphia Phillies,2,4,home
2022,2022-04-09,661575,Cincinnati Reds,Atlanta Braves,1,2,home
2022,2022-04-09,662588,New York Mets,Washington Nationals,5,0,away
2022,2022-04-09,662765,Cleveland Guardians,Kansas City Royals,0,1,home
2022,2022-04-09,661332,Boston Red Sox,New York Yankees,2,4,home
2022,2022-04-09,661803,Texas Rangers,Toronto Blue Jays,3,4,home
2022,2022-04-09,662123,Miami Marlins,San Francisco Giants,2,1,away
2022,2022-04-09,662020,Pittsburgh Pirates,St. Louis Cardinals,2,6,home
2022,2022-04-09,661756,Seattle Mariners,Minnesota Twins,4,3,away
2022,2022-04-09,662864,Chicago White Sox,Detroit Tigers,5,2,away
2022,2022-04-09,661917,Baltimore Orioles,Tampa Bay Rays,3,5,home
2022,2022-04-09,663417,San Diego Padres,Arizona Diamondbacks,3,0,away
2022,2022-04-09,661041,Houston Astros,Los Angeles Angels,13,6,away
2022,2022-04-09,663205,Milwaukee Brewers,Chicago Cubs,0,9,home
2022,2022-04-10,662122,Miami Marlins,San Francisco Giants,2,3,home
2022,2022-04-10,662934,Los Angeles Dodgers,Colorado Rockies,4,9,home
2022,2022-04-10,663204,Milwaukee Brewers,Chicago Cubs,5,4,away
2022,2022-04-10,662019,Pittsburgh Pirates,St. Louis Cardinals,9,4,away
2022,2022-04-10,661738,Seattle Mariners,Minnesota Twins,4,10,home
2022,2022-04-10,662755,Cleveland Guardians,Kansas City Royals,17,3,away
2022,2022-04-10,661316,Boston Red Sox,New York Yankees,4,3,away
2022,2022-04-10,663395,San Diego Padres,Arizona Diamondbacks,10,5,away
2022,2022-04-10,661039,Houston Astros,Los Angeles Angels,4,1,away
2022,2022-04-10,663404,San Diego Padres,Arizona Diamondbacks,5,2,away
2022,2022-04-10,662931,Los Angeles Dodgers,Colorado Rockies,2,3,home
2022,2022-04-10,661802,Texas Rangers,Toronto Blue Jays,12,6,away
2022,2022-04-10,661573,Cincinnati Reds,Atlanta Braves,6,3,away
2022,2022-04-10,662570,New York Mets,Washington Nationals,2,4,home
2022,2022-04-10,662887,Chicago White Sox,Detroit Tigers,10,1,away
2022,2022-04-10,661916,Baltimore Orioles,Tampa Bay Rays,0,8,home
2022,2022-04-10,661129,Oakland Athletics,Philadelphia Phillies,4,1,away
2022,2022-04-10,661040,Houston Astros,Los Angeles Angels,0,2,home
2022,2022-04-11,661637,New York Mets,Philadelphia Phillies,4,5,home
2022,2022-04-11,661572,Washington Nationals,Atlanta Braves,11,2,away
2022,2022-04-11,661315,Toronto Blue Jays,New York Yankees,3,0,away
2022,2022-04-11,661915,Oakland Athletics,Tampa Bay Rays,13,2,away
2022,2022-04-11,661754,Seattle Mariners,Minnesota Twins,0,4,home
2022,2022-04-11,662042,Colorado Rockies,Texas Rangers,6,4,away
2022,2022-04-11,663403,Milwaukee Brewers,Baltimore Orioles,0,2,home
2022,2022-04-11,662754,Cleveland Guardians,Kansas City Royals,10,7,away
2022,2022-04-11,662863,Boston Red Sox,Detroit Tigers,1,3,home
2022,2022-04-12,662017,Kansas City Royals,St. Louis Cardinals,5,6,home
2022,2022-04-12,661753,Los Angeles Dodgers,Minnesota Twins,7,2,away
2022,2022-04-12,661571,Washington Nationals,Atlanta Braves,4,16,home
2022,2022-04-12,661038,Miami Marlins,Los Angeles Angels,3,4,home
2022,2022-04-12,663295,Milwaukee Brewers,Baltimore Orioles,5,4,away
2022,2022-04-12,661636,New York Mets,Philadelphia Phillies,2,0,away
2022,2022-04-12,661314,Toronto Blue Jays,New York Yankees,0,4,home
2022,2022-04-12,662318,Chicago Cubs,Pittsburgh Pirates,2,1,away
2022,2022-04-12,661538,Seattle Mariners,Chicago White Sox,2,3,home
2022,2022-04-12,663088,Cleveland Guardians,Cincinnati Reds,10,5,away
2022,2022-04-12,662862,Boston Red Sox,Detroit Tigers,5,3,away
2022,2022-04-12,662116,San Diego Padres,San Francisco Giants,4,2,away
2022,2022-04-12,661036,Miami Marlins,Los Angeles Angels,2,6,home
2022,2022-04-12,661944,Oakland Athletics,Tampa Bay Rays,8,9,home
2022,2022-04-13,663411,Houston Astros,Arizona Diamondbacks,2,1,away
2022,2022-04-13,662885,Boston Red Sox,Detroit Tigers,9,7,away
2022,2022-04-13,661570,Washington Nationals,Atlanta Braves,3,1,away
2022,2022-04-13,663117,Cleveland Guardians,Cincinnati Reds,7,3,away
2022,2022-04-13,662317,Chicago Cubs,Pittsburgh Pirates,2,6,home
2022,2022-04-13,661995,Colorado Rockies,Texas Rangers,4,1,away
2022,2022-04-13,662104,San Diego Padres,San Francisco Giants,2,13,home
2022,2022-04-13,661530,Seattle Mariners,Chicago White Sox,4,6,home
2022,2022-04-13,663433,Milwaukee Brewers,Baltimore Orioles,4,2,away
2022,2022-04-13,661734,Los Angeles Dodgers,Minnesota Twins,7,0,away
2022,2022-04-13,663341,Houston Astros,Arizona Diamondbacks,2,3,home
2022,2022-04-13,662115,San Diego Padres,San Francisco Giants,1,2,home
2022,2022-04-13,661643,New York Mets,Philadelphia Phillies,9,6,away
2022,2022-04-13,661313,Toronto Blue Jays,New York Yankees,6,4,away
2022,2022-04-13,661943,Oakland Athletics,Tampa Bay Rays,4,2,away
2022,2022-04-14,661312,Toronto Blue Jays,New York Yankees,0,3,home
2022,2022-04-14,661418,Philadelphia Phillies,Miami Marlins,3,4,home
2022,2022-04-14,662307,Washington Nationals,Pittsburgh Pirates,4,9,home
2022,2022-04-14,661292,St. Louis Cardinals,Milwaukee Brewers,1,5,home
2022,2022-04-14,661942,Oakland Athletics,Tampa Bay Rays,6,3,away
2022,2022-04-14,661529,Seattle Mariners,Chicago White Sox,5,1,away
2022,2022-04-15,663265,Minnesota Twins,Boston Red Sox,8,4,away
2022,2022-04-15,661993,Los Angeles Angels,Texas Rangers,5,10,home
2022,2022-04-15,662702,Detroit Tigers,Kansas City Royals,4,2,away
2022,2022-04-15,662237,Atlanta Braves,San Diego Padres,1,12,home
2022,2022-04-15,662950,Chicago Cubs,Colorado Rockies,5,2,away
2022,2022-04-15,662291,Washington Nationals,Pittsburgh Pirates,7,2,away
2022,2022-04-15,661417,Philadelphia Phillies,Miami Marlins,1,7,home
2022,2022-04-15,662485,Arizona Diamondbacks,New York Mets,3,10,home
2022,2022-04-15,663357,New York Yankees,Baltimore Orioles,1,2,home
2022,2022-04-15,661792,Oakland Athletics,Toronto Blue Jays,1,4,home
2022,2022-04-15,663136,San Francisco Giants,Cleveland Guardians,4,1,away
2022,2022-04-15,661528,Tampa Bay Rays,Chicago White Sox,2,3,home
2022,2022-04-15,662627,Cincinnati Reds,Los Angeles Dodgers,3,9,home
2022,2022-04-16,662290,Washington Nationals,Pittsburgh Pirates,4,6,home
2022,2022-04-16,661416,Philadelphia Phillies,Miami Marlins,10,3,away
2022,2022-04-16,663266,New York Yankees,Baltimore Orioles,5,2,away
2022,2022-04-16,662620,Cincinnati Reds,Los Angeles Dodgers,1,3,home
2022,2022-04-16,662798,Detroit Tigers,Kansas City Royals,1,3,home
2022,2022-04-16,661335,St. Louis Cardinals,Milwaukee Brewers,2,1,away
2022,2022-04-16,661981,Los Angeles Angels,Texas Rangers,7,2,away
2022,2022-04-16,663238,Minnesota Twins,Boston Red Sox,0,4,home
2022,2022-04-16,662235,Atlanta Braves,San Diego Padres,5,2,away
2022,2022-04-16,662960,Chicago Cubs,Colorado Rockies,5,6,home
2022,2022-04-16,661527,Tampa Bay Rays,Chicago White Sox,2,3,home
2022,2022-04-16,662192,Houston Astros,Seattle Mariners,1,11,home
