player,team,opponent,hr_probability,recommendation,confidence,power_tier
Pete Alonso,New York Mets,Miami Marlins,0.2619355598287768,YES (to hit HR),HIGH,high
Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,0.32927460544215453,YES (to hit HR),HIGH,elite
Matt Olson,Atlanta Braves,Philadelphia Phillies,0.31472052274076984,YES (to hit HR),HIGH,high
Bryce Harper,Philadelphia Phillies,Atlanta Braves,0.2928517486420617,YES (to hit HR),HIGH,high
Aaron Judge,New York Yankees,Chicago White Sox,0.3164304444115979,YES (to hit HR),HIGH,elite
Juan Soto,New York Yankees,Chicago White Sox,0.2602445634936964,YES (to hit HR),HIGH,elite
Giancarlo Stanton,New York Yankees,Chicago White Sox,0.2872330540242829,YES (to hit HR),HIGH,high
Yordan Alvarez,Houston Astros,Los Angeles Angels,0.31391331392038485,YES (to hit HR),HIGH,high
Kyle Tucker,Houston Astros,Los Angeles Angels,0.26458153264959255,YES (to hit HR),HIGH,high
Manny Machado,San Diego Padres,Minnesota Twins,0.18809308278338888,YES (to hit HR),MEDIUM,high
Fernando Tatis Jr.,San Diego Padres,Minnesota Twins,0.21944525522311992,YES (to hit HR),MEDIUM,high
Shohei Ohtani,Los Angeles Dodgers,Arizona Diamondbacks,0.3124886838378681,YES (to hit HR),HIGH,elite
Mookie Betts,Los Angeles Dodgers,Arizona Diamondbacks,0.2498996442244194,YES (to hit HR),HIGH,high
Freddie Freeman,Los Angeles Dodgers,Arizona Diamondbacks,0.2068258729502371,YES (to hit HR),MEDIUM,high
Corey Seager,Texas Rangers,Oakland Athletics,0.1925675722990358,YES (to hit HR),MEDIUM,high
Pete Alonso,New York Mets,Miami Marlins,0.2619355598287768,YES (to hit HR),HIGH,high
Aaron Judge,New York Yankees,Chicago White Sox,0.3164304444115979,YES (to hit HR),HIGH,elite
Juan Soto,New York Yankees,Chicago White Sox,0.2602445634936964,YES (to hit HR),HIGH,elite
Giancarlo Stanton,New York Yankees,Chicago White Sox,0.2872330540242829,YES (to hit HR),HIGH,high
Yordan Alvarez,Houston Astros,Los Angeles Angels,0.31391331392038485,YES (to hit HR),HIGH,high
Kyle Tucker,Houston Astros,Los Angeles Angels,0.26458153264959255,YES (to hit HR),HIGH,high
Corey Seager,Texas Rangers,Oakland Athletics,0.1925675722990358,YES (to hit HR),MEDIUM,high
Shohei Ohtani,Los Angeles Dodgers,Arizona Diamondbacks,0.3124886838378681,YES (to hit HR),HIGH,elite
Mookie Betts,Los Angeles Dodgers,Arizona Diamondbacks,0.2498996442244194,YES (to hit HR),HIGH,high
Freddie Freeman,Los Angeles Dodgers,Arizona Diamondbacks,0.2068258729502371,YES (to hit HR),MEDIUM,high
Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,0.32927460544215453,YES (to hit HR),HIGH,elite
Matt Olson,Atlanta Braves,Philadelphia Phillies,0.31472052274076984,YES (to hit HR),HIGH,high
Bryce Harper,Philadelphia Phillies,Atlanta Braves,0.2928517486420617,YES (to hit HR),HIGH,high
