date,away_team,home_team,home_wins,temperature,wind_speed,humidity,is_dome,month,home_rest_days,away_rest_days,rest_advantage,home_games_last_week,away_games_last_week,fatigue_advantage,home_recent_offense,away_recent_offense,home_recent_defense,away_recent_defense,offensive_advantage,defensive_advantage,travel_factor,home_field
2025-08-16,Los Angeles Angels,Athletics,1,80,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Pittsburgh Pirates,Chicago Cubs,1,75,19,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Texas Rangers,Toronto Blue Jays,1,77,0,55,1,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Philadelphia Phillies,Washington Nationals,1,80,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Seattle Mariners,New York Mets,1,80,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Miami Marlins,Boston Red Sox,1,75,15,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Milwaukee Brewers,Cincinnati Reds,0,80,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,San Diego Padres,Los Angeles Dodgers,1,80,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Atlanta Braves,Cleveland Guardians,0,75,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Chicago White Sox,Kansas City Royals,1,80,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Detroit Tigers,Minnesota Twins,0,77,0,55,1,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,New York Yankees,St. Louis Cardinals,0,80,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Arizona Diamondbacks,Colorado Rockies,1,80,5,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Tampa Bay Rays,San Francisco Giants,0,80,19,60,0,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-16,Baltimore Orioles,Houston Astros,1,77,0,55,1,8,0,0,0,0,0,0,4.5,4.5,4.5,4.5,0.0,0.0,1,1
2025-08-17,Philadelphia Phillies,Washington Nationals,0,80,5,60,0,8,1,1,0,1,1,0,2.0,0.0,0.0,2.0,2.0,2.0,1,1
2025-08-17,Miami Marlins,Boston Red Sox,0,75,15,60,0,8,1,1,0,1,1,0,7.0,5.0,5.0,7.0,2.0,2.0,1,1
2025-08-17,Texas Rangers,Toronto Blue Jays,0,77,0,55,1,8,1,1,0,1,1,0,14.0,2.0,2.0,14.0,12.0,12.0,1,1
2025-08-17,Atlanta Braves,Cleveland Guardians,0,75,5,60,0,8,1,1,0,1,1,0,1.0,10.0,10.0,1.0,-9.0,-9.0,1,1
2025-08-17,Milwaukee Brewers,Cincinnati Reds,1,80,5,60,0,8,1,1,0,1,1,0,5.0,6.0,6.0,5.0,-1.0,-1.0,1,1
2025-08-17,Baltimore Orioles,Houston Astros,0,77,0,55,1,8,1,1,0,1,1,0,5.0,4.0,4.0,5.0,1.0,1.0,1,1
2025-08-17,Detroit Tigers,Minnesota Twins,1,77,0,55,1,8,1,1,0,1,1,0,5.0,8.0,8.0,5.0,-3.0,-3.0,1,1
2025-08-17,Chicago White Sox,Kansas City Royals,1,80,5,60,0,8,1,1,0,1,1,0,6.0,2.0,2.0,6.0,4.0,4.0,1,1
2025-08-17,New York Yankees,St. Louis Cardinals,0,80,5,60,0,8,1,1,0,1,1,0,8.0,12.0,12.0,8.0,-4.0,-4.0,1,1
2025-08-17,Pittsburgh Pirates,Chicago Cubs,1,75,12,60,0,8,1,1,0,1,1,0,3.0,1.0,1.0,3.0,2.0,2.0,1,1
2025-08-17,Arizona Diamondbacks,Colorado Rockies,1,80,5,60,0,8,1,1,0,1,1,0,10.0,7.0,7.0,10.0,3.0,3.0,1,1
2025-08-17,Los Angeles Angels,Athletics,0,80,5,60,0,8,1,1,0,1,1,0,7.0,2.0,2.0,7.0,5.0,5.0,1,1
2025-08-17,Tampa Bay Rays,San Francisco Giants,1,80,16,60,0,8,1,1,0,1,1,0,1.0,2.0,2.0,1.0,-1.0,-1.0,1,1
2025-08-17,San Diego Padres,Los Angeles Dodgers,1,80,5,60,0,8,1,1,0,1,1,0,6.0,0.0,0.0,6.0,6.0,6.0,1,1
2025-08-17,Seattle Mariners,New York Mets,1,80,5,60,0,8,1,1,0,1,1,0,3.0,1.0,1.0,3.0,2.0,2.0,1,1
2025-08-18,Milwaukee Brewers,Chicago Cubs,0,75,17,60,0,8,1,1,0,2,2,0,3.5,4.0,2.0,4.0,-0.5,2.0,1,1
