player,team,predicted_tb,actual_tb,recommendation,confidence,hit,at_bats,hits,singles,doubles,triples,home_runs
Gunnar Henderson,Baltimore Orioles,2.0930859323561526,,OVER 1.5 TB,HIGH,DNP,0,0,0,0,0,0
Gunnar Henderson,Baltimore Orioles,2.0930859323561526,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Adley Rutschman,Baltimore Orioles,1.8310973881182748,,OVER 1.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Adley Rutschman,Baltimore Orioles,1.8310973881182748,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Vladimir Guerrero Jr.,Toronto Blue Jays,1.9374883443691315,,OVER 1.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Vladimir Guerrero Jr.,Toronto Blue Jays,1.9374883443691315,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Rafael Devers,Boston Red Sox,2.1736140256820664,,OVER 1.5 TB,HIGH,DNP,0,0,0,0,0,0
Rafael Devers,Boston Red Sox,2.1736140256820664,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Pete Alonso,New York Mets,1.848317559957368,,OVER 1.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Pete Alonso,New York Mets,1.848317559957368,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Francisco Lindor,New York Mets,1.8784580887498703,,OVER 1.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Francisco Lindor,New York Mets,1.8784580887498703,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Ronald Acuña Jr.,Atlanta Braves,2.279587043497517,,OVER 1.5 TB,HIGH,DNP,0,0,0,0,0,0
Matt Olson,Atlanta Braves,1.992479855511408,,OVER 1.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Matt Olson,Atlanta Braves,1.992479855511408,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Austin Riley,Atlanta Braves,1.943748670144359,,OVER 1.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Austin Riley,Atlanta Braves,1.943748670144359,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
Bryce Harper,Philadelphia Phillies,2.335432080701868,,OVER 1.5 TB,HIGH,DNP,0,0,0,0,0,0
Trea Turner,Philadelphia Phillies,2.078454676889266,,OVER 1.5 TB,HIGH,DNP,0,0,0,0,0,0
Trea Turner,Philadelphia Phillies,2.078454676889266,,UNDER 2.5 TB,MEDIUM,DNP,0,0,0,0,0,0
